"2","1"
"5","97"
"19","38442"
"17","54297"
"7","490"
"13","20160"
"8","858"
"9","1771"
"21","255121"
"17","58520"
"19","103931"
"19","68342"
"9","1327"
"15","51748"
"11","3778"
"8","426"
"19","119620"
"5","57"
"11","5988"
"5","71"
"8","601"
"9","599"
"13","4327"
"14","43321"
"2","1"
"8","435"
"14","20325"
"13","5992"
"15","47340"
"35","708477"
"4","21"
"36","3650000"
"20","119557"
"21","277797"
"12","17739"
"13","14027"
"13","7083"
"7","339"
"6","191"
"4","18"
"13","4378"
"15","29733"
"5","97"
"2","1"
"7","214"
"10","3701"
"21","252312"
"14","32494"
"17","98635"
"9","2094"
"23","618297"
"44","1398084"
"8","1202"
"11","13763"
"9","1493"
"27","392723"
"8","292"
"7","249"
"24","689881"
"9","3740"
"7","214"
"6","216"
"12","7402"
"25","490380"
"18","4690"
"9","1991"
"13","12970"
"19","85630"
"22","181688"
"22","479673"
"10","4598"
"9","2168"
"13","29386"
"9","1439"
"8","614"
"11","2652"
"13","13431"
"9","1391"
"7","570"
"10","1280"
"9","549"
"23","110219"
"25","757462"
"2","1"
"4","23"
"20","32505"
"6","103"
"14","32562"
"17","101868"
"6","223"
"12","2266"
"25","147735"
"20","21957"
"29","708305"
"9","1015"
"11","5802"
"11","2485"
"8","457"
"10","3771"
"12","5306"
"11","5230"
"16","69941"
"10","4464"
"27","780175"
"6","347"
"10","1954"
"12","5939"
"12","12200"
"20","80108"
"16","36428"
"19","80057"
"33","639008"
"8","1044"
"12","6367"
"12","4041"
"14","15199"
"5","62"
"22","109398"
"12","10622"
"5","26"
"15","30214"
"4","28"
"35","3311107"
"28","383239"
"12","7464"
"6","174"
"15","29926"
"16","43151"
"9","2564"
"12","3414"
"15","9516"
"28","1270363"
"2","1"
"5","153"
"10","4967"
"7","357"
"15","23633"
"32","1774108"
"18","47437"
"7","437"
"25","353292"
"14","7947"
"9","384"
"9","423"
"6","118"
"2","1"
"3","6"
"2","1"
"2","1"
"7","155"
"5","85"
"11","5138"
"15","23466"
"3","6"
"2","1"
"4","17"
"2","1"
"2","1"
"7","155"
"2","1"
"13","19174"
"2","1"
"7","272"
"2","1"
"8","588"
"3","6"
"15","15106"
"2","1"
"5","98"
"2","1"
"5","93"
"2","1"
"8","338"
"2","1"
"21","188331"
"2","1"
"7","269"
"24","351769"
"51","6146899"
"8","279"
"17","40498"
"29","394557"
"10","3005"
"10","2407"
"3","6"
"14","4335"
"27","622920"
"22","118932"
"42","5980244"
"2","1"
"3","6"
"13","42755"
"14","37669"
"6","121"
"7","87"
"10","4169"
"26","361381"
"12","4717"
"18","56989"
"2","1"
"2","1"
"14","3830"
"19","82431"
"2","1"
"14","33334"
"45","6334003"
"6","205"
"7","817"
"6","65"
"15","25197"
"16","74816"
"4","19"
"15","21638"
"11","6495"
"2","1"
"2","1"
"2","1"
"13","15285"
"15","18822"
"9","1181"
"22","196275"
"14","2742"
"9","4845"
"7","148"
"7","340"
"13","8141"
"9","1402"
"11","2583"
"16","35718"
"18","24939"
"16","107336"
"12","8251"
"2","1"
"13","12002"
"37","4041970"
"18","96913"
"12","16136"
"22","137827"
"18","12607"
"28","480366"
"25","592735"
"19","257402"
"6","87"
"2","1"
"10","1814"
"2","1"
"2","1"
"2","1"
